t_ps E_hot_eV E_cold_eV
0 0 0
10 -4.93851462149234 5.21247162134262
20 -8.123287884103 6.57448288290378
30 -8.74348975795948 8.45867912186158
40 -11.581789603131 11.8517436507849
50 -14.2721277445547 13.2633421437117
60 -19.8443993472046 18.2056828437809
70 -24.4091236348153 21.6789380127503
80 -24.3386858417066 23.9511942736178
90 -30.7382846170807 25.6701697535553
100 -31.2209429290589 30.3210500039316
110 -33.3668807179553 32.4309132852599
120 -32.2236248629483 32.5940941640653
130 -35.2066564020546 35.7879982175332
140 -35.374186343518 39.7879442045366
150 -39.3685696362613 41.0080962922375
160 -42.342117741412 42.3691077085155
170 -43.8336720587126 45.50324087423
180 -46.4942026183311 48.2114018014496
190 -50.7796751863718 50.1600123012963
200 -52.5496166372265 51.1500955831376
210 -55.9496705394315 52.9635890710981
220 -56.7838787241759 58.0980623742226
230 -58.8242905194145 60.9720758209465
240 -62.0245664850243 61.863771623427
250 -65.387939077541 65.6063175862748
260 -71.3932029206344 69.3731614248823
270 -72.2130431705829 70.6893445682601
280 -74.3496525287009 73.6097844839964
290 -80.0621870610765 74.9495567073247
300 -82.45923350076 81.6510880363762
310 -83.8680133477757 85.4430289817396
320 -88.0633045734964 87.5934325131531
330 -90.1473767923135 90.2600672088042
340 -94.4536793456404 92.3522663493516
350 -94.7028277755848 93.7243065624743
360 -96.3518168623523 98.5768342135713
370 -100.425314386742 100.345330924887
380 -103.0214840341 102.316007372836
390 -104.119763659723 105.30128839943
400 -107.582567617007 108.056784968982
410 -110.319268313491 114.202139161156
420 -115.131516663511 114.340586628063
430 -117.580388017398 119.230579319856
440 -121.214067010514 120.562360028201
450 -124.28253556179 123.422747665214
460 -126.808380590405 128.23357558201
470 -130.908323090193 131.50575199663
480 -134.353368283425 133.64790531447
490 -138.006983448994 137.055922226134
500 -139.312812778176 140.408808226262
510 -144.122316837515 143.656540148288
520 -145.56914654699 144.768924295698
530 -149.51464980214 146.817339325872
540 -153.464638408984 152.343755651456
550 -158.837849291257 154.929006464178
560 -162.07488851174 156.637266460742
570 -163.092653657848 158.373874824467
580 -163.458045909103 164.864943409907
590 -167.352029327865 166.683108286274
600 -171.107932210846 170.777201897756
610 -176.436371204667 174.579198362752
620 -179.570894587345 178.565682280052
630 -180.121199941445 181.194859604005
640 -183.6642121549 184.392233730224
650 -185.827321309252 188.005160493495
660 -188.002068338185 187.851812929972
670 -189.301708338559 189.8952066572
680 -191.611523738025 190.38716859971
690 -193.592093280252 193.518508872032
700 -196.606903846859 195.375169036668
710 -200.878167997351 199.761391319311
720 -202.92929219663 201.913554883806
730 -201.9075738721 201.551753787649
740 -204.873134624735 203.147219469685
750 -208.817363331529 206.844568823657
760 -211.983165464436 210.529648044677
770 -215.43090300532 212.935462247074
780 -216.16741178271 217.454352621882
790 -219.495866134277 219.122613589448
800 -220.751597360498 221.929683084812
810 -222.566445685093 222.105089268304
820 -223.363807160009 225.696077232617
830 -229.422964336973 228.516066584625
840 -231.26822736616 230.623403362133
850 -234.661158237258 231.059642389488
860 -236.87722034031 230.834956352782
870 -239.911189842361 234.88200662545
880 -242.204996127258 238.288532446077
890 -243.386449370404 242.07787297543
900 -246.948104673677 244.029794396729
910 -248.95401300867 247.125870156205
920 -249.989195467451 253.381482928529
930 -252.018490853272 253.126142711433
940 -253.342004720316 254.583718180362
950 -256.597148543505 255.280542467161
960 -261.067608187548 258.363156153963
970 -262.48847480625 262.723273938409
980 -265.206571302111 265.926732124588
990 -269.5703695098 269.032119821473
1000 -271.680718333847 274.98338303182
1010 -273.929811125459 277.195494924475
1020 -277.939743942342 277.877433571354
1030 -277.966342487412 278.929633196658
1040 -281.533995411821 280.973507517609
1050 -286.032503545655 281.612175447937
1060 -285.998374183719 283.34465408506
1070 -285.612075186453 284.630376828545
1080 -285.028219027397 287.311222140771
1090 -290.728891987324 287.63950714001
1100 -293.497197794787 290.624400345427
1110 -295.501416930802 293.121930104757
1120 -299.085547482759 297.302884557505
1130 -304.231652165556 301.929767229622
1140 -306.35584266976 305.014991733065
1150 -306.827496986487 306.298174804654
1160 -308.938164467629 307.162001461132
1170 -309.954328502069 309.817174255724
1180 -313.544727352631 315.019086211566
1190 -321.268688418424 318.585192488409
1200 -322.65911718403 324.150347512978
1210 -327.112244136567 327.476013724529
1220 -328.448905903167 329.056430121692
1230 -330.874950888077 331.769149909099
1240 -333.22508440039 335.777389436162
1250 -336.664741047969 337.431930489308
1260 -342.005397215123 341.26201342447
1270 -345.121595920703 344.6901508854
1280 -349.632094355953 345.158986959583
1290 -350.670734149352 347.047806257761
1300 -353.202997031563 350.197573540564
1310 -354.49032724648 351.838261244179
1320 -357.474039341788 353.314835787282
1330 -359.245389651703 356.469339819267
